Variant number: 133,  Outcomes: White win: 29%,  Draw: 52%,  Black win: 19%,  Move 5 Entropy: 11.5,  Move 10 Entropy: 18.1,  Move 20 Entropy: 24.9
Variant number: 134,  Outcomes: White win: 27%,  Draw: 51%,  Black win: 22%,  Move 5 Entropy: 10.1,  Move 10 Entropy: 15.2,  Move 20 Entropy: 26.9
Variant number: 135,  Outcomes: White win: 23%,  Draw: 58%,  Black win: 19%,  Move 5 Entropy: 11.9,  Move 10 Entropy: 15.0,  Move 20 Entropy: 25.8
Variant number: 136,  Outcomes: White win: 32%,  Draw: 47%,  Black win: 21%,  Move 5 Entropy: 8.6,  Move 10 Entropy: 9.7,  Move 20 Entropy: 20.3
Variant number: 137,  Outcomes: White win: 26%,  Draw: 53%,  Black win: 22%,  Move 5 Entropy: 11.5,  Move 10 Entropy: 18.1,  Move 20 Entropy: 24.2
Variant number: 138,  Outcomes: White win: 28%,  Draw: 53%,  Black win: 19%,  Move 5 Entropy: 9.0,  Move 10 Entropy: 14.8,  Move 20 Entropy: 28.1
Variant number: 139,  Outcomes: White win: 25%,  Draw: 56%,  Black win: 19%,  Move 5 Entropy: 12.0,  Move 10 Entropy: 13.8,  Move 20 Entropy: 23.6
Variant number: 140,  Outcomes: White win: 33%,  Draw: 43%,  Black win: 24%,  Move 5 Entropy: 9.5,  Move 10 Entropy: 14.5,  Move 20 Entropy: 21.5
Variant number: 141,  Outcomes: White win: 34%,  Draw: 45%,  Black win: 21%,  Move 5 Entropy: 8.8,  Move 10 Entropy: 11.3,  Move 20 Entropy: 27.9
Variant number: 142,  Outcomes: White win: 27%,  Draw: 52%,  Black win: 21%,  Move 5 Entropy: 8.8,  Move 10 Entropy: 15.1,  Move 20 Entropy: 23.4
Variant number: 143,  Outcomes: White win: 27%,  Draw: 53%,  Black win: 20%,  Move 5 Entropy: 8.5,  Move 10 Entropy: 12.8,  Move 20 Entropy: 20.4
Variant number: 144,  Outcomes: White win: 33%,  Draw: 46%,  Black win: 21%,  Move 5 Entropy: 9.3,  Move 10 Entropy: 12.3,  Move 20 Entropy: 22.9
Variant number: 145,  Outcomes: White win: 27%,  Draw: 52%,  Black win: 21%,  Move 5 Entropy: 11.7,  Move 10 Entropy: 14.8,  Move 20 Entropy: 25.5
Variant number: 146,  Outcomes: White win: 30%,  Draw: 48%,  Black win: 22%,  Move 5 Entropy: 9.0,  Move 10 Entropy: 8.6,  Move 20 Entropy: 22.0
Variant number: 147,  Outcomes: White win: 30%,  Draw: 49%,  Black win: 21%,  Move 5 Entropy: 10.1,  Move 10 Entropy: 13.7,  Move 20 Entropy: 19.4
Variant number: 148,  Outcomes: White win: 31%,  Draw: 48%,  Black win: 21%,  Move 5 Entropy: 9.0,  Move 10 Entropy: 13.8,  Move 20 Entropy: 20.2
Variant number: 149,  Outcomes: White win: 28%,  Draw: 51%,  Black win: 22%,  Move 5 Entropy: 10.3,  Move 10 Entropy: 14.8,  Move 20 Entropy: 24.0
Variant number: 150,  Outcomes: White win: 23%,  Draw: 56%,  Black win: 21%,  Move 5 Entropy: 9.8,  Move 10 Entropy: 13.7,  Move 20 Entropy: 24.9
Variant number: 151,  Outcomes: White win: 28%,  Draw: 50%,  Black win: 22%,  Move 5 Entropy: 9.0,  Move 10 Entropy: 10.7,  Move 20 Entropy: 25.8
Variant number: 152,  Outcomes: White win: 29%,  Draw: 47%,  Black win: 23%,  Move 5 Entropy: 8.3,  Move 10 Entropy: 12.6,  Move 20 Entropy: 19.7
Variant number: 153,  Outcomes: White win: 27%,  Draw: 50%,  Black win: 23%,  Move 5 Entropy: 11.4,  Move 10 Entropy: 17.4,  Move 20 Entropy: 28.0
Variant number: 154,  Outcomes: White win: 26%,  Draw: 53%,  Black win: 21%,  Move 5 Entropy: 10.9,  Move 10 Entropy: 15.7,  Move 20 Entropy: 29.5
Variant number: 155,  Outcomes: White win: 25%,  Draw: 57%,  Black win: 18%,  Move 5 Entropy: 11.0,  Move 10 Entropy: 17.1,  Move 20 Entropy: 27.6
Variant number: 156,  Outcomes: White win: 28%,  Draw: 48%,  Black win: 24%,  Move 5 Entropy: 10.0,  Move 10 Entropy: 15.8,  Move 20 Entropy: 25.3
Variant number: 157,  Outcomes: White win: 29%,  Draw: 42%,  Black win: 29%,  Move 5 Entropy: 11.5,  Move 10 Entropy: 16.2,  Move 20 Entropy: 30.5
Variant number: 158,  Outcomes: White win: 29%,  Draw: 48%,  Black win: 23%,  Move 5 Entropy: 9.3,  Move 10 Entropy: 12.5,  Move 20 Entropy: 26.2
